"id","cond","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","scan","post1","post2","post3","post4","post5","post6","post7","post8","post9","post10","post11","post12","post13","post14","post15","post16","post17","post18","post19","post20","post21","post22","post23","post24","post25","post26","post27","post28","post29","postc1","postc2","postc3","postc4","postc5","postc6","postc7","postc8","postc9","postc10","postc11","postc12","age","sex","sleepr","sleepd","score"
"G6","Gambling",3,2,3,2,3,2,4,2,4,4,3,2,4,2,4,2,3,2,4,4,"KM14090202",4,3,5,5,3,5,5,3,5,5,3,5,3,3,3,5,5,3,3,3,4,3,4,3,5,3,5,3,2,1,-2,1,0,1,-1,NA,NA,NA,NA,NA,NA,21,"F",5,4.5,28
"G7","Gambling",4,1,3,3,1,5,1,5,5,2,5,1,3,3,1,5,1,5,5,3,"KM14090201",7,1,6,6,1,6,1,7,1,1,7,1,1,4,7,6,7,1,1,1,7,1,6,1,1,7,1,7,4,-2,2,-2,-2,2,0,NA,NA,NA,NA,NA,NA,21,"M",7,7,30
"G8","Gambling",5,1,4,2,4,2,1,5,5,5,5,1,4,2,4,2,1,5,5,4,"KM14090103",7,1,7,6,2,6,6,3,6,1,7,1,1,2,3,5,7,1,1,1,7,1,6,2,6,2,1,7,1,-2,2,-2,-1,2,-2,NA,NA,NA,NA,NA,NA,19,"M",6,5,29
"G9","Gambling",5,1,4,1,4,2,1,5,5,3,5,1,4,1,3,4,1,5,5,3,"KM14090104",5,1,5,5,1,5,5,2,5,1,1,1,2,2,6,5,4,4,2,2,7,1,7,1,5,3,1,7,2,-1,1,-2,-2,2,-2,NA,NA,NA,NA,NA,NA,19,"M",4,7,31
"R1","Reward",4,2,4,1,2,3,2,4,5,2,4,1,4,1,2,2,2,4,5,2,"KM13121602",5,3,5,6,2,6,6,2,6,3,5,3,2,6,7,4,6,2,2,2,6,2,6,2,3,4,3,5,2,1,1,-2,-2,2,-1,2,-2,-2,-2,2,-2,18,"F",6,7,27
"R10","Reward",5,1,4,2,4,3,1,4,5,2,5,1,5,1,4,1,2,3,5,3,"KM13122003",2,5,3,7,2,6,7,2,6,2,6,1,1,6,7,5,6,1,1,2,7,2,6,2,6,2,2,5,1,-1,2,-2,-1,2,-1,2,-1,-1,-2,2,-1,22,"M",7,7,30
"R3","Reward",5,1,5,2,3,3,3,2,4,3,4,1,5,1,4,2,2,4,5,3,"KM13121604",5,2,5,5,2,5,5,2,5,2,2,2,1,5,6,1,6,1,1,1,6,1,6,1,4,2,3,5,1,1,2,-2,-2,2,-2,2,-1,-2,-2,2,-2,20,"F",6,9,27
"R21","Reward",4,1,4,2,5,1,3,3,5,1,5,1,4,2,5,1,3,3,5,1,"KM14051201",6,2,5,6,2,6,7,1,7,4,5,4,1,4,7,1,7,1,1,1,6,1,6,2,7,1,4,5,1,-2,-1,-2,1,2,-2,2,-2,-2,2,2,-2,20,"M",6,6,34
"R22","Reward",4,1,3,3,2,4,2,4,5,4,4,2,4,2,3,3,3,3,5,4,"KM14051203",5,2,4,5,2,5,5,2,4,5,2,5,1,5,6,5,6,2,1,1,5,2,4,4,3,5,4,4,1,-2,2,-1,-1,1,-1,1,-1,-1,-1,1,-1,20,"F",5,5,28
"R23","Reward",4,1,4,2,4,3,3,4,5,2,5,1,4,1,4,2,3,2,5,2,"KM14051301",5,3,5,7,2,7,5,1,5,5,5,4,1,5,7,4,6,2,1,2,4,2,6,2,6,4,3,4,1,1,1,1,0,2,-1,2,-2,0,-2,2,-1,21,"F",7,6,30
"R24","Reward",5,1,4,3,1,4,1,5,5,1,5,1,1,4,1,1,1,5,5,2,"KM14051302",7,1,7,5,5,5,1,7,1,1,7,1,1,5,7,6,6,2,1,1,7,1,5,3,1,7,1,7,1,-2,2,-2,-2,2,-2,-2,2,-2,-2,2,-2,18,"F",7,7,31
"R25","Reward",5,1,3,2,1,1,3,4,5,2,5,1,4,1,1,5,2,5,5,3,"KM14051401",7,1,7,5,2,5,2,7,4,4,5,4,1,6,4,2,7,3,3,4,7,1,4,4,1,7,4,4,1,-2,2,-2,-2,2,-2,-2,1,-2,-2,2,-1,20,"M",6.5,6.5,23
"R26","Reward",5,1,3,3,1,5,5,1,5,2,5,1,4,1,1,4,5,1,5,2,"KM14051402",7,1,7,6,2,5,5,2,6,5,2,5,1,6,7,1,7,1,1,2,7,1,6,2,3,5,4,3,1,-2,2,-2,-2,-2,2,2,2,-2,-2,2,2,22,"F",6,6,26
"R27","Reward",5,2,3,2,2,4,4,2,5,2,5,2,4,2,2,4,3,3,4,2,"KM14051501",5,3,5,5,3,5,5,3,5,5,5,5,1,5,7,6,6,4,2,3,6,2,5,3,4,5,5,3,2,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,21,"F",7,7,29
"R28","Reward",5,2,3,3,2,3,2,2,5,2,5,1,3,3,1,4,1,2,5,4,"KM14051502",6,1,4,7,1,7,7,1,4,1,7,1,1,5,7,7,7,2,1,1,6,1,5,2,4,4,1,1,5,-1,2,-2,-1,2,-1,1,-1,-2,-1,2,-2,20,"M",8,7,30
"R4","Reward",4,1,4,2,4,2,3,3,5,2,5,1,4,1,1,2,3,3,5,3,"KM13121702",7,1,6,6,1,6,2,4,3,5,2,5,1,2,6,4,6,2,2,2,7,1,6,1,2,6,2,2,2,-2,2,-2,-2,2,2,-2,2,-2,-2,2,2,18,"F",5.6,6,28
"R5","Reward",4,2,4,1,3,4,1,1,5,3,5,1,4,1,3,4,1,5,5,4,"KM13121703",6,2,5,6,2,6,5,1,5,2,2,2,1,5,7,7,4,5,2,3,6,2,5,3,5,3,3,5,1,-2,2,-2,-1,2,-1,2,-2,0,-1,2,-1,19,"M",7,6,30
"R6","Reward",5,1,4,2,3,3,2,3,5,2,5,1,4,1,3,2,1,4,5,2,"KM13121802",2,6,2,7,2,7,6,2,7,1,6,2,1,5,7,4,6,1,1,1,6,2,6,2,5,2,1,6,1,1,1,-2,-2,2,-2,2,-2,-2,-2,2,-2,22,"F",7,6,28
"R7","Reward",4,2,2,3,4,1,1,4,5,2,4,3,4,2,2,4,1,4,5,2,"KM13121804",3,6,3,5,3,5,6,1,6,2,6,6,1,5,7,4,6,2,3,2,5,4,4,3,6,4,3,5,1,-1,-2,-1,1,1,-2,1,-2,-1,2,1,-2,20,"M",6,8,30
"R8","Reward",3,2,3,2,4,1,3,2,4,2,2,4,4,3,3,2,3,2,4,4,"KM13121902",2,6,4,3,5,5,4,3,5,6,4,6,1,5,6,5,5,2,2,4,2,5,4,4,6,2,5,2,1,1,-1,2,2,-2,1,1,-2,2,0,0,1,19,"M",7,6,29
"R9","Reward",5,1,3,3,2,4,2,3,5,2,5,1,2,4,2,4,3,3,5,2,"KM13121903",3,6,3,6,2,6,5,3,5,4,4,4,1,6,7,5,6,2,3,5,7,1,5,3,5,3,4,4,4,-2,2,-1,-1,1,0,2,-1,0,-1,2,-2,20,"M",7,6,31
