"id"	"cond"	"match"	"fMRI"	"a1"	"a2"	"a3"	"a4"	"a5"	"a6"	"a7"	"a8"	"a9"	"a10"	"b1"	"b2"	"b3"	"b4"	"b5"	"b6"	"b7"	"b8"	"b9"	"b10"	"scan"	"pre1"	"pre2"	"pre3"	"pre4"	"pre5"	"pre6"	"pre7"	"pre8"	"pre9"	"pre10"	"pre11"	"pre12"	"pre13"	"pre14"	"pre15"	"exp"	"post1"	"post2"	"post3"	"post4"	"post5"	"post6"	"post7"	"post8"	"post9"	"post10"	"post11"	"post12"	"post13"	"post14"	"post15"	"post16"	"post17"	"post18"	"post19"	"post20"	"post21"	"post22"	"post23"	"post24"	"post25"	"post26"	"post27"	"post28"	"post29"	"postc1"	"postc2"	"postc3"	"postc4"	"postc5"	"postc6"	"postc7"	"postc8"	"postc9"	"postc10"	"postc11"	"postc12"	"age"	"sex"	"sleepr"	"sleepd"	"Easy"	"Mid"	"Dif"	"IAT"	"score"	"orderedcond"	"c1"	"c2"	"c3"	"c4"	"c5"	"c6"	"c7"	"c8"	"c9"	"c10"	"c2r"	"c4r"	"c6r"	"c8r"	"c12r"	"c34r"	"c56r"	"c78r"	"pos_im_e"	"pos_im_m"	"pos_im_h"	"pos_im_ws"	"pos_emo_e"	"pos_emo_m"	"pos_emo_h"	"pos_emo_ws"	"postc_e"	"postc_m"	"postc_h"	"postc_ws"	"postm_e"	"postm_m"	"postm_h"	"postm_ws"	"leftBeta_D"	"leftBeta_M"	"leftBeta_E"	"rightBeta_D"	"rightBeta_M"	"rightBeta_E"	"leftContrastEstimate_D"	"leftContrastEstimate_M"	"leftContrastEstimate_E"	"rightContrastEstimate_D"	"rightContrastEstimate_M"	"rightContrastEstimate_E"
"50"	"R6"	"R"	5	1	5	1	4	2	3	3	2	3	5	2	5	1	4	1	3	2	1	4	5	2	"KM13121802"	2	3	3	5	4	2	4	3	4	2	4	2	4	2	4	"No"	2	6	2	7	2	7	6	2	7	1	6	2	1	5	7	4	6	1	1	1	6	2	6	2	5	2	1	6	1	1	1	-2	-2	2	-2	2	-2	-2	-2	2	-2	22	"F"	7	6	"G"	"B"	"O"	""	28	"Reward"	5	1	4	1.5	3	2.5	1.5	3.5	5	2	5	1.5	2.5	3.5	5	2.75	2.75	2.5	2	6.66666666666667	6.33333333333333	1.66666666666667	6	6	5.5	1.5	2	5	-1	-6	-2	6	2	-6	-1.1341	1.1947	5.5946	-3.9346	1.2024	3.0366	1.6386	2.7969	4.8828	-2.2007	0.79428	1.4832
"51"	"R7"	"R"	6	1	4	2	2	3	4	1	1	4	5	2	4	3	4	2	2	4	1	4	5	2	"KM13121804"	2	4	3	5	4	3	3	3	4	2	4	4	2	4	2	"No"	3	6	3	5	3	5	6	1	6	2	6	6	1	5	7	4	6	2	3	2	5	4	4	3	6	4	3	5	1	-1	-2	-1	1	1	-2	1	-2	-1	2	1	-2	20	"M"	6	8	"G"	"B"	"O"	"r"	30	"Reward"	4	2.5	3	2.5	3	2.5	1	4	5	2	2.5	2.5	2.5	2	3.25	2.75	2.75	1.5	2.66666666666667	5	6.33333333333333	3.33333333333333	4.5	4.5	5	3	0	-1	5	-4	-2	0	6	-4	6.5714	2.4767	0.62432	4.812	4.8412	-0.117	7.8586	5.8788	4.0452	6.7807	7.7068	3.4562
"52"	"R8"	"R"	7	1	3	2	3	2	4	1	3	2	4	2	2	4	4	3	3	2	3	2	4	4	"KM13121902"	3	3	2	4	3	3	3	4	4	2	4	3	4	2	4	"No"	2	6	4	3	5	5	4	3	5	6	4	6	1	5	6	5	5	2	2	4	2	5	4	4	6	2	5	2	1	1	-1	2	2	-2	1	1	-2	2	0	0	1	19	"M"	7	6	"O"	"G"	"B"	"r"	29	"Reward"	2.5	3	3.5	2.5	3.5	1.5	3	2	4	3	3	2.5	1.5	4	2.75	3	2.5	3.5	2.66666666666667	3.66666666666667	4.66666666666667	5.33333333333333	2.5	4	6	5.5	-4	-3	2	5	-5	1	1	3	-1.6383	-0.086655	-0.52698	1.9214	0.073205	-1.5376	-1.8894	-0.95878	-1.1613	1.3271	0.37743	-0.55425
"53"	"R9"	"R"	8	1	5	1	3	3	2	4	2	3	5	2	5	1	2	4	2	4	3	3	5	2	"KM13121903"	1	5	1	5	4	1	4	3	5	1	5	2	1	5	1	"No"	3	6	3	6	2	6	5	3	5	4	4	4	1	6	7	5	6	2	3	5	7	1	5	3	5	3	4	4	4	-2	2	-1	-1	1	0	2	-1	0	-1	2	-2	20	"M"	7	6	"O"	"G"	"B"	""	31	"Reward"	5	1	2.5	3.5	2	4	2.5	3	5	2	5	3.5	2	3	5	3	2	2.75	2.66666666666667	6	5	4	7	5	5	4	5	0	-3	-2	-3	5	2	-4	5.7356	9.4653	4.0123	4.9258	7.3584	3.7645	11.308	14.943	9.0147	9.521	12.025	7.7689
"38"	"R10"	"R"	9	1	5	1	4	2	4	3	1	4	5	2	5	1	5	1	4	1	2	3	5	3	"KM13122003"	1	5	2	5	4	2	4	3	3	2	4	2	1	5	1	"No"	2	5	3	7	2	6	7	2	6	2	6	1	1	6	7	5	6	1	1	2	7	2	6	2	6	2	2	5	1	-1	2	-2	-1	2	-1	2	-1	-1	-2	2	-1	22	"M"	7	7	"B"	"O"	"G"	"r"	30	"Reward"	5	1	4.5	1.5	4	2	1.5	3.5	5	2.5	5	1.5	4	3.5	5	3	4	2.5	2.66666666666667	6.33333333333333	6.33333333333333	1.66666666666667	6.5	6	6	2.5	5	2	-2	-5	-2	6	0	-4	6.4466	2.0135	4.726	3.2971	1.5837	5.3268	9.2098	6.6347	7.4695	6.1245	5.0132	6.5773
"40"	"R21"	"R"	10	1	4	1	4	2	5	1	3	3	5	1	5	1	4	2	5	1	3	3	5	1	"KM14051201"	4	2	4	5	4	2	4	5	5	1	5	3	4	1	4	"No"	6	2	5	6	2	6	7	1	7	4	5	4	1	4	7	1	7	1	1	1	6	1	6	2	7	1	4	5	1	-2	-1	-2	1	2	-2	2	-2	-2	2	2	-2	20	"M"	6	6	"G"	"B"	"O"	""	34	"Reward"	4.5	1	4	2	5	1	3	3	5	1	5	4	5	3	4.75	4	5	3	5.66666666666667	6	7	3.66666666666667	6.5	6	7	3.5	3	-1	4	-6	-2	2	6	-6	2.5537	8.3801	4.6633	1.1073	4.8	7.4798	7.9385	12.547	7.9369	6.1479	8.6303	8.6553
"41"	"R22"	"R"	11	1	4	1	3	3	2	4	2	4	5	4	4	2	4	2	3	3	3	3	5	4	"KM14051203"	4	2	3	4	4	2	4	3	4	2	4	2	4	2	3	"No"	5	2	4	5	2	5	5	2	4	5	2	5	1	5	6	5	6	2	1	1	5	2	4	4	3	5	4	4	1	-2	2	-1	-1	1	-1	1	-1	-1	-1	1	-1	20	"F"	5	5	"G"	"B"	"O"	"r"	28	"Reward"	4	1.5	3.5	2.5	2.5	3.5	2.5	3.5	5	4	1.5	2.5	3.5	3.5	2.75	3	3	3	5	5.33333333333333	5	5.33333333333333	5.5	4	3	4	5	0	-2	-3	-1	3	1	-3	-10.703	2.8342	-4.0443	-11.491	1.5575	-1.6685	-11.173	-2.4287	-6.9938	-11.527	-3.4853	-5.6355
"42"	"R23"	"R"	12	1	4	1	4	2	4	3	3	4	5	2	5	1	4	1	4	2	3	2	5	2	"KM14051301"	5	3	3	5	5	2	5	4	4	1	4	2	5	3	5	"No"	5	3	5	7	2	7	5	1	5	5	5	4	1	5	7	4	6	2	1	2	4	2	6	2	6	4	3	4	1	1	1	1	0	2	-1	2	-2	0	-2	2	-1	21	"F"	7	6	"O"	"G"	"B"	""	30	"Reward"	4.5	1	4	1.5	4	2.5	3	3	5	2	5	1.5	2.5	3	4.75	2.75	3.25	3	5	6.66666666666667	5.66666666666667	4	5	6	5	3.5	-1	3	0	-2	-4	6	1	-3	5.1964	3.5474	4.8232	6.666	0.71599	4.9095	8.6367	7.9665	7.5544	8.9641	5.2474	7.2917
"43"	"R24"	"R"	13	1	5	1	4	3	1	4	1	5	5	1	5	1	1	4	1	1	1	5	5	2	"KM14051302"	2	4	2	3	4	2	4	3	4	2	4	3	4	2	4	"No"	7	1	7	5	5	5	1	7	1	1	7	1	1	5	7	6	6	2	1	1	7	1	5	3	1	7	1	7	1	-2	2	-2	-2	2	-2	-2	2	-2	-2	2	-2	18	"F"	7	7	"O"	"G"	"B"	"r"	31	"Reward"	5	1	2.5	3.5	1	2.5	1	5	5	1.5	5	3.5	2.5	1	5	3	1.75	1	7	4.33333333333333	1	1	7	5	1	1	6	2	-2	-6	6	2	-2	-6	0.72791	6.091	4.6894	6.4828	7.2433	7.0469	5.1702	9.0808	6.4598	12.366	13.622	11.268
"44"	"R25"	"R"	14	1	5	1	3	2	1	1	3	4	5	2	5	1	4	1	1	5	2	5	5	3	"KM14051401"	4	2	3	5	4	3	3	4	2	3	4	1	4	3	3	"No"	7	1	7	5	2	5	2	7	4	4	5	4	1	6	4	2	7	3	3	4	7	1	4	4	1	7	4	4	1	-2	2	-2	-2	2	-2	-2	1	-2	-2	2	-1	20	"M"	6.5	6.5	"B"	"O"	"G"	"r"	23	"Reward"	5	1	3.5	1.5	1	3	2.5	4.5	5	2.5	5	1.5	3	4.5	5	2.5	2	3.5	7	5.33333333333333	2.33333333333333	3.66666666666667	7	4	1	4	6	2	-2	-6	5	2	-2	-5	0.65149	5.1382	-1.8959	0.24654	9.7558	-2.7151	2.0182	5.7394	0.28825	3.201	10.778	0.92684
"45"	"R26"	"R"	15	1	5	1	3	3	1	5	5	1	5	2	5	1	4	1	1	4	5	1	5	2	"KM14051402"	4	1	4	5	4	1	5	3	3	2	4	2	4	2	4	"No"	7	1	7	6	2	5	5	2	6	5	2	5	1	6	7	1	7	1	1	2	7	1	6	2	3	5	4	3	1	-2	2	-2	-2	-2	2	2	2	-2	-2	2	2	22	"F"	6	6	"B"	"O"	"G"	""	26	"Reward"	5	1	3.5	2	1	4.5	5	1	5	2	5	4	4.5	5	5	3.75	2.75	5	7	5.66666666666667	5.66666666666667	5.33333333333333	7	6	3	4.5	6	-2	-6	2	2	6	-6	-2	-1.3127	4.3993	10.106	3.0957	1.4154	9.5539	4.6286	8.0172	9.8613	7.5728	6.1286	10.179
"46"	"R27"	"R"	16	1	5	2	3	2	2	4	4	2	5	2	5	2	4	2	2	4	3	3	4	2	"KM14051501"	4	3	4	5	4	3	4	3	2	3	2	2	4	2	4	"No"	5	3	5	5	3	5	5	3	5	5	5	5	1	5	7	6	6	4	2	3	6	2	5	3	4	5	5	3	2	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	21	"F"	7	7	"G"	"B"	"O"	""	29	"Reward"	5	2	3.5	2	2	4	3.5	2.5	4.5	2	4	4	2	2.5	4.5	3.75	2	3	5	5	5	4.33333333333333	6	5	3.5	5	3	1	-3	-1	-3	3	1	-1	4.9989	0.29604	0.59099	5.3788	2.2149	2.3244	5.3646	2.6266	2.6544	7.2483	5.6347	4.9773
"47"	"R28"	"R"	17	1	5	2	3	3	2	3	2	2	5	2	5	1	3	3	1	4	1	2	5	4	"KM14051502"	3	3	3	4	2	4	4	2	4	1	4	1	4	1	3	"No"	6	1	4	7	1	7	7	1	4	1	7	1	1	5	7	7	7	2	1	1	6	1	5	2	4	4	1	1	5	-1	2	-2	-1	2	-1	1	-1	-2	-1	2	-2	20	"M"	8	7	"G"	"B"	"O"	"r"	30	"Reward"	5	1.5	3	3	1.5	3.5	1.5	2	5	3	1.5	3	3.5	4	3.25	3	2.5	2.75	5.66666666666667	7	6	1	6.5	5.5	4	4	5	2	-2	-5	0	4	2	-6	-4.9316	6.0402	0.57318	-4.9892	3.6022	1.1888	-2.1875	5.3038	0.49945	-3.009	2.5912	0.21385
"19"	"G1"	"G"	1	1	5	1	4	2	3	3	1	5	5	4	5	2	4	3	3	4	1	5	5	4	"KM14090101"	5	3	4	5	4	3	4	4	5	2	4	3	1	5	1	"No"	5	2	4	6	2	6	5	3	4	1	7	1	1	3	7	5	6	2	1	1	7	1	5	4	2	6	1	7	1	-2	2	-2	-2	2	-2	NA	NA	NA	NA	NA	NA	21	"F"	6	6	"O"	"G"	"B"	""	27	"Gambling"	5	1.5	4	2.5	3	3.5	1	5	5	4	1.5	2.5	3.5	1	3.25	3.25	3.25	1	5	6	4.66666666666667	1	7	4.5	2	1	6	2	-2	-6	NA	NA	NA	NA	2.2814	4.3419	10.363	-0.47312	5.0201	10.37	4.4855	6.187	10.795	2.669	6.2534	10.386
"30"	"G3"	"G"	2	1	5	1	3	3	1	5	1	5	5	4	5	1	4	3	1	5	1	5	5	4	"KM14090102"	4	1	4	4	3	3	3	3	1	1	1	1	1	1	1	"No"	7	1	7	5	4	3	1	7	1	1	7	1	1	5	7	5	5	3	2	2	7	1	5	4	1	7	1	7	2	-2	2	-2	-2	2	0	NA	NA	NA	NA	NA	NA	20	"F"	8	6	"O"	"G"	"B"	""	27	"Gambling"	5	1	3.5	3	1	5	1	5	5	4	5	3	1	1	5	3.25	1	1	7	4	1	1	7	4.5	1	1	6	2	-4	-4	NA	NA	NA	NA	-5.946	-1.4076	17.101	-8.2729	-0.91102	18.801	-1.092	0.91634	14.256	-2.3065	1.23	15.451
"35"	"G8"	"G"	7	1	5	1	4	2	4	2	1	5	5	5	5	1	4	2	4	2	1	5	5	4	"KM14090103"	5	5	5	5	4	2	3	4	4	2	3	5	1	5	1	"No"	7	1	7	6	2	6	6	3	6	1	7	1	1	2	3	5	7	1	1	1	7	1	6	2	6	2	1	7	1	-2	2	-2	-1	2	-2	NA	NA	NA	NA	NA	NA	19	"M"	6	5	"O"	"G"	"B"	""	29	"Gambling"	5	1	4	2	4	2	1	5	5	4.5	5	4	4	1	5	4	4	1	7	6	5.66666666666667	1	7	6	6	1	6	1	-1	-6	NA	NA	NA	NA	0.03739	2.1631	6.233	-0.40191	-0.63586	7.0506	1.6692	3.0779	6.1431	0.98782	0.71942	6.2717
"36"	"G9"	"G"	8	1	5	1	4	1	4	2	1	5	5	3	5	1	4	1	3	4	1	5	5	3	"KM14090104"	5	2	3	5	4	3	3	3	1	3	3	1	1	1	1	"No"	5	1	5	5	1	5	5	2	5	1	1	1	2	2	6	5	4	4	2	2	7	1	7	1	5	3	1	7	2	-1	1	-2	-2	2	-2	NA	NA	NA	NA	NA	NA	19	"M"	4	7	"O"	"G"	"B"	""	31	"Gambling"	5	1	4	1	3.5	3	1	5	5	3	5	5	3	1	5	4.5	3.25	1	5.66666666666667	5.66666666666667	5.33333333333333	3	7	7	5	1	4	3	-1	-6	NA	NA	NA	NA	2.8393	6.9459	23.125	1.1614	4.0312	14.78	7.8962	10.995	23.118	4.5073	6.5486	14.568
"34"	"G7"	"G"	6	1	4	1	3	3	1	5	1	5	5	2	5	1	3	3	1	5	1	5	5	3	"KM14090201"	5	1	4	5	3	3	3	2	1	1	1	1	1	1	1	"No"	7	1	6	6	1	6	1	7	1	1	7	1	1	4	7	6	7	1	1	1	7	1	6	1	1	7	1	7	4	-2	2	-2	-2	2	0	NA	NA	NA	NA	NA	NA	21	"M"	7	7	"G"	"B"	"O"	""	30	"Gambling"	4.5	1	3	3	1	5	1	5	5	2.5	5	3	1	1	4.75	3	1	1	6.66666666666667	6.33333333333333	1	1	7	6.5	1	1	6	2	-4	-4	NA	NA	NA	NA	-1.4219	8.6153	0.78603	4.0613	8.239	2.4251	0.78902	7.3632	2.0881	4.9167	8.3928	4.604
"33"	"G6"	"G"	5	1	3	2	3	2	3	2	4	2	4	4	3	2	4	2	4	2	3	2	4	4	"KM14090202"	3	4	3	2	3	3	3	2	3	2	4	2	4	2	4	"No"	4	3	5	5	3	5	5	3	5	5	3	5	3	3	3	5	5	3	3	3	4	3	4	3	5	3	5	3	2	1	-2	1	0	1	-1	NA	NA	NA	NA	NA	NA	21	"F"	5	4.5	"G"	"B"	"O"	""	28	"Gambling"	3	2	3.5	2	3.5	2	3.5	2	4	4	4	4	4	4	3.5	3.75	3.75	3.75	4.66666666666667	5	5	5	4.5	4.5	5	5	-4	2	3	-1	NA	NA	NA	NA	-0.85742	-0.27341	8.2333	-5.4886	-0.86712	5.2524	0.96844	1.1737	7.3367	-3.0066	-0.79287	3.5718
"31"	"G4"	"G"	3	1	4	2	4	1	2	4	3	4	5	4	5	1	4	2	1	5	2	4	5	4	"KM14090301"	4	2	3	5	4	2	4	3	2	4	2	1	1	1	1	"No"	6	4	3	6	2	6	2	6	2	3	5	1	1	1	1	3	5	3	2	2	6	1	6	2	2	6	3	5	1	-1	2	-2	-2	2	2	NA	NA	NA	NA	NA	NA	19	"F"	6	6	"B"	"O"	"G"	""	28	"Gambling"	4.5	1.5	4	1.5	1.5	4.5	2.5	4	5	4	1.5	1.5	4.5	2	3	2.75	3	2.25	4.33333333333333	6	2	2.33333333333333	6.5	6	2	3	5	3	-6	-2	NA	NA	NA	NA	-0.024597	3.574	7.1153	0.59463	6.0656	8.765	2.068	4.4603	7.2106	3.3056	7.0578	9.3239
"32"	"G5"	"G"	4	1	5	1	5	1	2	4	1	5	5	5	5	1	5	1	1	5	1	5	5	5	"KM14090302"	5	5	1	5	4	5	5	1	1	1	1	1	1	5	1	"No"	3	1	1	7	1	7	1	7	2	1	7	1	1	1	7	5	5	3	1	2	7	1	7	1	1	7	1	7	1	-2	2	-2	-2	2	-1	NA	NA	NA	NA	NA	NA	20	"M"	6	5	"B"	"O"	"G"	""	30	"Gambling"	5	1	5	1	1.5	4.5	1	5	5	5	5	5	4.5	1	5	5	3	1	3.66666666666667	7	1.33333333333333	1	7	7	1	1	6	2	-3	-5	NA	NA	NA	NA	-1.2598	-2.9229	4.2692	-1.6984	-1.8868	2.5779	-0.60306	-1.9622	3.1114	-1.0501	-1.469	1.6703
"27"	"G26"	"G"	15	1	5	1	4	2	2	4	1	5	5	4	4	1	4	3	2	4	1	5	5	4	"KM14090303"	5	2	4	4	4	2	4	3	4	2	4	1	1	4	1	"No"	6	3	6	7	2	7	2	6	2	1	7	1	2	5	3	5	7	2	1	1	7	2	5	3	2	6	1	7	5	1	2	-2	-2	2	0	NA	NA	NA	NA	NA	NA	19	"F"	7	6	"B"	"O"	"G"	""	26	"Gambling"	4.5	1	4	2.5	2	4	1	5	5	4	5	2.5	2	1	4.75	3.25	2	1	5.66666666666667	6.66666666666667	2	1	6.5	5	2	1	3	5	-4	-4	NA	NA	NA	NA	-5.1978	-3.372	2.9989	-5.0671	-3.0611	0.36727	-3.7227	-3.3442	1.0815	-4.091	-3.5525	-1.2491
"25"	"G23"	"G"	12	1	5	1	2	3	1	4	1	5	5	4	5	1	4	2	2	4	1	5	5	5	"KM14090304"	5	2	3	4	5	2	4	4	2	4	2	2	1	5	1	"No"	7	1	4	6	2	6	3	6	2	1	7	1	2	2	2	6	6	2	2	2	7	1	5	2	2	6	1	7	1	-2	2	-2	-2	2	0	NA	NA	NA	NA	NA	NA	19	"F"	6	5	"O"	"G"	"B"	""	30	"Gambling"	5	1	3	2.5	1.5	4	1	5	5	4.5	5	2.5	2	1	5	2.75	1.75	1	6	6	2.33333333333333	1	7	5.5	2	1	6	2	-4	-4	NA	NA	NA	NA	-8.1248	3.4074	11.177	-7.2286	1.2929	11.527	-2.8864	3.5515	9.3073	-2.586	1.9522	9.4014
"20"	"G10"	"G"	9	1	5	1	3	3	1	5	1	5	5	3	5	1	3	3	1	5	1	5	5	4	"KM14090401"	5	1	5	5	5	1	4	1	1	1	1	1	1	1	1	"No"	7	1	7	4	4	4	2	2	2	2	2	2	4	4	4	4	7	1	1	4	7	4	4	4	1	7	1	7	2	-2	2	-2	-2	2	-2	NA	NA	NA	NA	NA	NA	19	"M"	7	7	"B"	"O"	"G"	""	30	"Gambling"	5	1	3	3	1	5	1	5	5	3.5	5	3	1	1	5	3	1	1	7	4	3.33333333333333	3.33333333333333	5.5	4	1	1	6	2	-2	-6	NA	NA	NA	NA	-3.2234	1.3029	2.1526	-3.7861	1.7273	1.6974	-1.6052	0.93015	1.5885	-2.0121	1.1048	1.1407
"28"	"G27"	"G"	16	1	5	1	3	3	2	4	2	2	5	4	5	1	3	3	1	4	3	3	4	4	"KM14090402"	5	1	5	5	5	1	5	3	3	1	5	3	5	1	5	"No"	7	1	7	6	1	7	1	1	4	4	1	4	1	1	1	6	6	1	1	1	7	1	6	1	1	4	4	4	1	-2	2	-2	0	1	1	NA	NA	NA	NA	NA	NA	19	"F"	6	5	"G"	"B"	"O"	""	29	"Gambling"	5	1	3	3	1.5	4	2.5	2.5	4.5	4	5	3	2	2.5	5	3	1.75	2.5	7	6.66666666666667	4	5	7	6.5	2.5	4	6	-1	-3	-2	NA	NA	NA	NA	3.0715	-1.1693	4.6914	2.177	0.16502	3.475	2.8753	0.46567	4.69	2.2566	1.2219	3.6518
"21"	"G21"	"G"	10	1	5	1	4	2	1	5	1	5	5	4	5	1	3	3	1	5	1	5	5	3	"KM14090403"	4	1	4	5	3	2	3	2	2	2	2	1	1	4	1	"No"	7	1	7	5	1	6	1	7	1	1	7	1	3	4	1	1	6	1	1	1	7	1	5	1	1	7	1	7	1	-2	2	-2	-2	2	-1	NA	NA	NA	NA	NA	NA	18	"M"	8	9	"G"	"B"	"O"	""	34	"Gambling"	5	1	3.5	2.5	1	5	1	5	5	3.5	5	2.5	1	1	5	3	1	1	7	6	1	1	7	6	1	1	6	2	-3	-5	NA	NA	NA	NA	2.4029	-2.2026	8.8914	0.55004	3.2404	4.6499	3.0359	0.24405	8.2161	1.9237	3.8084	4.997
"22"	"G22"	"G"	11	1	4	1	3	3	1	4	1	5	5	3	4	2	3	3	2	4	1	4	5	4	"KM14090501"	4	3	3	5	3	3	3	3	2	2	2	2	2	2	2	"No"	5	2	6	4	4	5	3	5	2	1	6	1	1	4	1	4	5	2	2	1	6	2	6	3	2	6	1	7	2	-2	2	-2	-1	2	-1	NA	NA	NA	NA	NA	NA	22	"F"	6	7.5	"G"	"B"	"O"	""	27	"Gambling"	4	1.5	3	3	1.5	4	1	4.5	5	3.5	1.5	3	2	4.5	2.75	3	1.75	2.75	5.66666666666667	4.33333333333333	2.66666666666667	1.33333333333333	6	5.5	2	1	6	1	-2	-5	NA	NA	NA	NA	6.3593	-4.396	13.145	5.4015	-0.66138	8.6352	6.2553	-0.095234	12.483	5.3977	2.1041	8.8679
"26"	"G24"	"G"	13	1	5	1	4	2	1	5	1	5	5	3	5	1	4	2	1	5	1	5	5	4	"KM14090502"	5	1	4	5	4	2	4	3	3	3	3	2	1	4	1	"No"	7	1	6	6	2	5	2	7	2	1	7	1	1	1	6	6	5	3	1	4	7	1	5	2	2	7	1	7	1	-2	2	-2	-2	2	0	NA	NA	NA	NA	NA	NA	24	"F"	5	5	"O"	"G"	"B"	""	31	"Gambling"	5	1	4	2	1	5	1	5	5	3.5	5	4	1	1	5	4	1	1	6.66666666666667	5.66666666666667	1.66666666666667	1	7	5.5	1.5	1	6	2	-4	-4	NA	NA	NA	NA	2.4521	2.3517	-7.8888	1.6485	1.2649	-3.3771	0.62204	1.0007	-6.3081	0.73863	0.76652	-2.5327
"24"	"G228"	"G"	17	1	5	1	4	2	1	5	1	5	5	3	5	1	4	2	1	5	1	5	5	4	"KM14090503"	5	1	4	4	4	1	5	2	1	4	2	1	1	5	1	"No"	7	1	7	6	2	6	1	7	1	1	7	1	1	5	7	1	7	1	1	1	7	1	6	2	1	7	1	7	1	-2	2	-2	-2	2	0	NA	NA	NA	NA	NA	NA	21	"M"	7	9	"G"	"B"	"O"	""	30	"Gambling"	5	1	4	2	1	5	1	5	5	3.5	5	4	1	1	5	4	1	1	7	6	1	1	7	6	1	1	6	2	-4	-4	NA	NA	NA	NA	1.9246	1.6713	6.392	-0.21528	3.5923	6.5976	2.9409	3.0401	6.5678	1.8345	4.3409	6.7012
"23"	"G227"	"G"	16	1	5	1	4	2	1	5	1	5	5	4	5	1	4	2	1	5	1	5	5	4	"KM14090504"	5	1	5	5	4	2	4	4	2	4	2	1	1	5	1	"No"	7	1	7	6	2	6	1	7	1	1	7	1	1	1	1	5	5	2	1	1	7	1	6	2	1	7	1	7	1	-2	2	-2	-2	2	0	NA	NA	NA	NA	NA	NA	21	"F"	6	7	"G"	"B"	"O"	""	29	"Gambling"	5	1	4	2	1	5	1	5	5	4	5	4	1	1	5	4	1	1	7	6	1	1	7	6	1	1	6	2	-4	-4	NA	NA	NA	NA	-5.1299	-1.0814	3.6804	-6.7852	-1.1709	6.2817	-3.1044	-1.2113	2.1586	-3.7775	-1.1065	4.2025
